,Name,DT Name,SnapPy Name,Stage 1,MDP,4DCrossCap (KnotInfo),4DCrossCap (Model)
2282,12n_194,12n_194,K12n194,Fail,N/A,,
2283,12n_195,12n_195,K12n195,Success,N/A,,1
2284,12n_196,12n_196,K12n196,Success,N/A,,1
2285,12n_197,12n_197,K12n197,Success,N/A,,1
2286,12n_198,12n_198,K12n198,Fail,N/A,,
2287,12n_199,12n_199,K12n199,Success,N/A,,1
2288,12n_200,12n_200,K12n200,Success,N/A,,1
2289,12n_201,12n_201,K12n201,Fail,N/A,,
2290,12n_202,12n_202,K12n202,Success,N/A,,1
2291,12n_203,12n_203,K12n203,Success,N/A,,1
2292,12n_204,12n_204,K12n204,Success,N/A,,1
2293,12n_205,12n_205,K12n205,Success,N/A,,1
2294,12n_206,12n_206,K12n206,Success,N/A,,1
2295,12n_207,12n_207,K12n207,Success,N/A,,1
2296,12n_208,12n_208,K12n208,Fail,N/A,,
2297,12n_209,12n_209,K12n209,Fail,N/A,,
2298,12n_210,12n_210,K12n210,Success,N/A,,1
2299,12n_211,12n_211,K12n211,Fail,N/A,,
2300,12n_212,12n_212,K12n212,Success,N/A,,1
2301,12n_213,12n_213,K12n213,Fail,N/A,,
2302,12n_214,12n_214,K12n214,Success,N/A,,1
2303,12n_215,12n_215,K12n215,Success,N/A,,1
2304,12n_216,12n_216,K12n216,Success,N/A,,1
2305,12n_217,12n_217,K12n217,Success,N/A,,1
2306,12n_218,12n_218,K12n218,Fail,N/A,,
2307,12n_219,12n_219,K12n219,Fail,N/A,,
2308,12n_220,12n_220,K12n220,Success,N/A,,1
2309,12n_221,12n_221,K12n221,Success,N/A,,1
2310,12n_222,12n_222,K12n222,Fail,N/A,,
2311,12n_223,12n_223,K12n223,Success,N/A,,1
2312,12n_224,12n_224,K12n224,Success,N/A,,1
2313,12n_225,12n_225,K12n225,Success,N/A,,1
2314,12n_226,12n_226,K12n226,Success,N/A,,1
2315,12n_227,12n_227,K12n227,Success,N/A,,1
2316,12n_228,12n_228,K12n228,Success,N/A,,1
2317,12n_229,12n_229,K12n229,Fail,N/A,,
2318,12n_230,12n_230,K12n230,Success,N/A,,1
2319,12n_231,12n_231,K12n231,Fail,N/A,,
2320,12n_232,12n_232,K12n232,Success,N/A,,1
2321,12n_233,12n_233,K12n233,Success,N/A,,1
2322,12n_234,12n_234,K12n234,Success,N/A,,1
2323,12n_235,12n_235,K12n235,Success,N/A,,1
2324,12n_236,12n_236,K12n236,Success,N/A,,1
2325,12n_237,12n_237,K12n237,Fail,N/A,,
